t,t,XLK
12,43,0.15861386138613956
12,44,0.1907142857142894
12,45,0.21822580645161843
12,46,0.4880999999999995
12,47,0.5066666666666627
12,48,0.45003533568904086
12,49,0.44523809523809205
12,50,0.42692307692307563
12,51,0.3473529411764673
12,52,0.5067999999999938
12,53,0.24861702127660018
12,54,0.3622891566265104
12,55,0.6118604651162814
12,56,0.4655555555555549
12,57,0.5728888888888899
12,58,0.6607500000000023
12,59,0.6248648648648646
13,0,0.5499999999999985
13,1,0.6123684210526315
13,2,0.4860000000000014
13,3,0.504999999999999
13,4,0.23686274509803612
13,5,0.272372881355927
13,6,0.1850000000000005
13,7,0.3816666666666658
13,8,0.16380952380952235
13,9,0.21888888888889113
13,10,0.3087500000000052
13,11,0.3050000000000068
13,12,0.2964705882352995
13,13,0.23000000000000523
13,14,0.22786324786324924
13,15,0.25064220183486335
13,16,0.3450000000000074
13,17,0.4470000000000013
13,18,0.38749999999999574
13,19,0.4601449275362368
13,20,0.46109375000000274
13,21,0.37142857142857466
13,22,0.24000000000000057
13,23,0.2400000000000091
13,24,0.0772727272727371
13,25,0.15000000000000568
13,26,0.14363636363636736
13,27,0.051111111111116735
13,28,0.25000000000000533
13,29,0.4283333333333393
13,30,0.14672849915682884
13,31,0.05486979166666824
13,32,0.060064935064935
13,33,0.05266233766233784
13,34,0.051301369863015804
13,49,0.10771631205673601
13,50,0.0913221601489767
13,51,0.1295918367346943
13,52,0.1537922705314025
13,53,0.17984444444444425
13,54,0.1486466165413555
13,55,0.13100811123985945
13,56,0.23736730360934194
13,57,0.22410852713178125
13,58,0.424789272030653
13,59,0.32292225201072233
14,0,0.3959134615384581
14,1,0.06960698689956381
14,2,0.039936868686867764
14,3,0.07522041763341011
14,4,0.09065168539325802
14,5,0.06187393526405477
14,6,0.05947187141216979
14,7,0.046042296072506574
14,8,0.05784471218206159
14,9,0.05883720930232446
14,10,0.06170454545454641
14,11,0.05040966386554576
14,12,0.038693181818181856
14,13,0.03233810709838061
14,14,0.02439086294416259
14,15,0.024252118644067892
14,16,0.019380305602716984
14,17,0.01883905013192541
14,18,0.020275958840037883
14,19,0.018244968621509913
14,20,0.022300109529024954
14,21,0.020881649731022203
14,22,0.029237999328633826
14,23,0.02584237726098199
14,24,0.031608198659834004
14,25,0.0282372674595918
14,26,0.028621283929340602
14,27,0.026093321134492895
14,28,0.020902103559870357
14,29,0.022195453003053832
14,30,0.021668749999999713
14,31,0.020593625498007785
14,32,0.019824650571790437
14,33,0.02074042553191537
14,34,0.02170056685561863
14,35,0.020847639484977892
14,36,0.021824377457404412
14,37,0.02265299877601027
14,38,0.023522537562604192
14,39,0.019437072778447754
14,40,0.0169274751730359
14,41,0.015061327561327489
14,42,0.0174416854778027
14,43,0.012510686805358127
14,44,0.014395910780669223
14,45,0.01416864864864845
14,46,0.013589302769819005
14,47,0.014527646129542961
14,48,0.014149792632348961
14,49,0.011902272727272387
14,50,0.010835134604047985
14,51,0.010464534572092003
14,52,0.009829504666188062
14,53,0.010173898071625965
14,54,0.010964860035735987
14,55,0.01112462703695222
14,56,0.010807806324111465
14,57,0.010846921392065513
14,58,0.012197547232350312
14,59,0.01222078593588372
15,0,0.014979265402843769
15,1,0.01604534005037773
15,2,0.017205980807855483
15,3,0.0137074517019315
15,4,0.015622175354022338
15,5,0.016252491694352052
15,6,0.013709941520467185
15,7,0.015175660992393439
15,8,0.012989159891598987
15,9,0.013033903216460163
15,10,0.014341397849462348
15,11,0.014321171506578988
15,12,0.015259377494013775
15,13,0.013992756903576166
15,14,0.013049440635149645
15,15,0.011338028169014492
15,16,0.01233982300884915
15,17,0.011013570822730336
15,18,0.012414241164241337
15,19,0.010948121645796722
15,20,0.01160728218465548
15,21,0.011316431009263469
15,22,0.011624384702763368
15,23,0.010938809723385364
15,24,0.010516224188791204
15,25,0.010898498187468564
15,26,0.011681967213115325
15,27,0.01107776261937254
15,28,0.010825884876653877
15,29,0.011179645335390166
15,30,0.01244617013766317
15,31,0.012628550880977694
15,32,0.012057538237436322
15,33,0.011985537812594588
15,34,0.012557657424203167
15,35,0.012353079454631335
15,36,0.012479777553083275
15,37,0.012484571428570958
15,38,0.012790404040404142
15,39,0.012321644498185583
15,40,0.013174219536756897
15,41,0.011693324802729126
15,42,0.011974888274100794
15,43,0.012161968466315813
15,44,0.011764457577036442
15,45,0.011878867429214464
15,46,0.012177278885233222
15,47,0.01185193469022595
15,48,0.01155232305688278
15,49,0.011447581953911039
15,50,0.010968481375357324
15,51,0.011316804407712927
15,52,0.011864665479521117
15,53,0.011804372842347343
15,54,0.01074149833802106
15,55,0.010021909804637042
15,56,0.010660504959422515
15,57,0.011259565667011869
15,58,0.011144987935951063
15,59,0.011458000355176924
16,0,0.01122504361310334
16,1,0.011043890865953927
