IEV: iShares Europe ETF
Inception Date: 2000-07-25
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1774266
Shares Outstanding: 38050000
Expense Ratio: 0.59%
Tracks This Index: S&P Europe 350 Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEV


Holding,Symbol,Weighting
Burberry Group PLC,BRBY,0.1152%
Porsche Automobil Holding SE,PAH3,0.1145%
Gecina SA,GFC,0.1131%
Fortum Oyj,FORTUM,0.1127%
Mowi ASA,MOWI,0.112%
Barratt Developments PLC,BDEV,0.1118%
Mondi PLC,MNDI,0.1117%
Delivery Hero SE,DHER,0.1115%
Bouygues SA,EN,0.1105%
Grifols SA,GRF,0.1104%
HeidelbergCement AG,HEI,0.11%
Publicis Groupe SA,PUB,0.1092%
Schindler Holding AG,SCHP,0.1087%
Swedish Match AB,SWMA,0.1086%
Chocoladefabriken Lindt & Spruengli AG,LISN,0.1084%
Terna Rete Elettrica Nazionale SpA,TRN,0.1072%
Carrefour SA,CA,0.1071%
Adecco Group AG,ADEN,0.1069%
Alstom SA,ALO,0.1068%
Heineken Holding NV,HEIO,0.1061%
Kingspan Group PLC,KRX,0.1048%
Koninklijke KPN NV,KPN,0.1042%
Eiffage SA,FGR,0.1025%
Standard Life Aberdeen PLC,SLA,0.1022%
Ocado Group PLC,OCDO,0.1017%
Swiss Prime Site AG,SPSN,0.1013%
CNH Industrial NV,CNHI,0.101%
Sodexo SA,SW,0.1007%
Umicore SA,UMI,0.0998%
Land Securities Group PLC,LAND,0.0994%
Roche Holding AG,RO,0.099%
Taylor Wimpey PLC,TW.,0.0986%
Elisa Oyj,ELISA,0.0984%
Baloise Holding AG,BALN,0.098%
Chocoladefabriken Lindt & Spruengli AG,LISP,0.0972%
ACS Actividades de Construccion y Servicios SA,ACS,0.097%
Smurfit Kappa Group PLC,SK3,0.0969%
Naturgy Energy Group SA,NTGY,0.0953%
Smiths Group PLC,SMIN,0.0952%
Flutter Entertainment PLC,FLTR,0.0949%
Endesa SA,ELE,0.094%
United Utilities Group PLC,UU.,0.0938%
Croda International PLC,CRDA,0.0933%
Atos SE,ATO,0.0932%
Spirax-Sarco Engineering PLC,SPX,0.0926%
Berkeley Group Holdings PLC,BKG,0.0923%
Bunzl plc,BNZL,0.0922%
Red Electrica Corporacion SA,REE,0.092%
Skanska AB,SKA.B,0.0917%
Aroundtown SA,AT1,0.0908%
Brenntag AG,BNR,0.0899%
Kuehne und Nagel International AG,KNIN,0.0898%
LEG Immobilien AG,LEG,0.0889%
DCC PLC,DCC,0.0887%
Stora Enso Oyj,STERV,0.0884%
Qiagen NV,QIA,0.0881%
Ryanair Holdings PLC,RYAAY,0.0877%
Moncler SpA,MONC,0.0867%
Groep Brussel Lambert NV,GBLB,0.0866%
M&G PLC,MNG,0.0865%
St. James's Place PLC,STJ,0.0864%
Vifor Pharma AG,VIFN,0.0859%
Logitech International SA,LOGN,0.0859%
Swatch Group AG,UHR,0.0859%
Renault SA,RNO,0.0859%
Severn Trent PLC,SVT,0.0856%
RSA Insurance Group PLC,RSA,0.085%
Alfa Laval AB,ALFA,0.0849%
Whitbread PLC,WTB,0.0847%
Chr Hansen Holding A/S,CHR,0.0836%
